Nama Kabupaten,Nama Kecamatan,Nama Desa,Tahun,Bulan,Nilai atau Jumlah,Satuan
"Kab. Kotawaringin Barat,""-"",""-"",""2019"",""-"",5900,"""""
"Kab. Kotawaringin Timur,""-"",""-"",""2019"",""-"",9012,"""""
"Kab. Kapuas,""-"",""-"",""2019"",""-"",6041,"""""
"Kab. Barito Selatan,""-"",""-"",""2019"",""-"",1785,"""""
"Kab. Barito Utara,""-"",""-"",""2019"",""-"",2355,"""""
"Kab. Sukamara,""-"",""-"",""2019"",""-"",1305,"""""
"Kab. Lamandau,""-"",""-"",""2019"",""-"",1389,"""""
"Kab. Seruyan,""-"",""-"",""2019"",""-"",3388,"""""
"Kab. Katingan,""-"",""-"",""2019"",""-"",3379,"""""
"Kab. Pulang Pisau,""-"",""-"",""2019"",""-"",2403,"""""
"Kab. Gunung Mas,""-"",""-"",""2019"",""-"",2701,"""""
"Kab. Barito Timur,""-"",""-"",""2019"",""-"",1805,"""""
"Kab. Murung Raya,""-"",""-"",""2019"",""-"",2785,"""""
"Kota Palangkaraya,""-"",""-"",""2019"",""-"",5197,"""""
"Kab. Kotawaringin Barat,""-"",""-"",""2020"",""-"",5770,"""""
"Kab. Kotawaringin Timur,""-"",""-"",""2020"",""-"",9341,"""""
"Kab. Kapuas,""-"",""-"",""2020"",""-"",6130,"""""
"Kab. Barito Selatan,""-"",""-"",""2020"",""-"",2117,"""""
"Kab. Barito Utara,""-"",""-"",""2020"",""-"",2303,"""""
"Kab. Sukamara,""-"",""-"",""2020"",""-"",1261,"""""
"Kab. Lamandau,""-"",""-"",""2020"",""-"",1488,"""""
"Kab. Seruyan,""-"",""-"",""2020"",""-"",3179,"""""
"Kab. Katingan,""-"",""-"",""2020"",""-"",3239,"""""
"Kab. Pulang Pisau,""-"",""-"",""2020"",""-"",2245,"""""
"Kab. Gunung Mas,""-"",""-"",""2020"",""-"",2559,"""""
"Kab. Barito Timur,""-"",""-"",""2020"",""-"",1818,"""""
"Kab. Murung Raya,""-"",""-"",""2020"",""-"",2238,"""""
"Kota Palangkaraya,""-"",""-"",""2020"",""-"",4510,"""""
